Accession	Lineage
GCA_020883315.1	RIVM_C037794
GCA_021132815.1	B16EC0986
GCA_029625455.1	E50
GCF_024917795.1	5270
GCA_026248885.1	XYEH3934
GCF_023167605.1	M719
GCF_030316195.1	TG1
GCF_018771465.1	Survcare253
GCF_900474495.1	NCTC11023
GCF_017164875.1	Z1830
GCF_022493815.1	A4
GCF_024499175.1	CPE35
GCF_013167795.1	F3113
GCF_003443795.1	E706
GCA_020526725.1	g94
GCF_024917655.1	5283
GCF_024585465.1	MB53
GCF_001886535.1	MRSN352231
GCA_900635635.1	NCTC9104
GCF_022558785.1	EC19
GCF_021498025.2	258E
GCA_026651245.1	GN02461
GCF_021133215.1	A17EC0350
GCF_024585945.1	PI6
GCF_025995315.1	H52_982342
GCF_018986835.1	BMH-17-0027
GCF_024298705.1	EC21Z-078
GCF_025200615.1	USDA-ARS-USMARC-51688
GCF_017088425.1	88COLEC
GCF_005221685.1	134
GCF_012221365.1	8-3-DC15
GCF_022558665.1	EC27
GCF_900636125.1	NCTC9699
GCF_013167075.1	NEB5-alpha_F'Iq
GCA_024917995.1	3090
GCF_011404215.1	2017.01.04CC
GCF_032386315.1	TUM1223
GCA_900636195.1	NCTC9008
GCF_027925825.1	10153
GCF_033971045.1	FRIK1989
GCA_023546885.1	AGR5151
GCF_016696665.1	U90
GCF_005396225.2	SI-NP020
GCA_030996785.1	CUVET20-PYO2
GCF_030345455.1	SY22D8
GCA_030013145.1	ETEC4088
GCF_030995185.1	CUVET18-565
GCF_001901215.1	M19
GCF_001695515.1	FRIK944
GCF_030347075.1	APEC E19035
GCF_900636605.1	NCTC9041
GCF_019355475.1	EC45
GCF_019646015.1	Stbl4
GCA_025563475.1	BM28 lysU
GCF_014169035.1	WP4-S17-ESBL-08
GCF_000009565.1	BL21(DE3)
GCF_025996075.1	CEC01311
GCF_020809365.1	4
GCF_002968935.1	13P460A
GCF_014169915.1	BEC1-S17-ESBL-09
GCF_002057245.1	13E0780
GCA_021132315.1	C16EC0593
GCF_016026375.1	FDAARGOS_941
GCF_001566615.1	SaT040
GCF_002163935.1	KSC1031
GCF_000813165.1	APEC IMT5155
GCA_026968085.1	KE26
GCF_025946545.1	C 236-04A
GCA_030063885.1	AVS0750
GCA_900636235.1	NCTC9100
GCA_030345495.1	SY221
GCA_021132195.1	C16EC0768
GCF_030515375.1	MS20659
GCF_021397945.1	E305-2
GCF_017639165.1	027_SK3
GCF_029990455.1	AVS0153
GCF_028201615.1	HH107
GCF_022846235.1	Rb-23
GCF_013391825.1	AMSCJX03
GCF_034338325.1	TP6-2
GCF_003231115.1	HS30-1
GCF_013167255.1	TB182A
GCF_003122105.1	ECCRA-119
GCF_024300705.1	2000-3039
GCF_009909465.1	LD39-1
GCF_002863845.1	STEC299
GCF_010365425.1	10
GCF_030995245.1	CUVET16-394
GCA_021133475.1	A16EC0210
GCF_016889045.1	FDAARGOS_1255
GCF_017164855.1	Z1831
GCF_032385915.1	TUM2830
GCA_030708335.1	S2
GCF_022493455.1	A23
GCA_022559875.1	LC-1302-2020
GCF_013425955.1	2D
GCF_002803905.1	AMA1167
GCF_016806005.1	XH988
GCA_020883395.1	RIVM_C036569
GCF_030438455.1	STEC435
GCF_002716885.1	RM7190
GCF_015571875.1	Res13-Lact-ER02-39
GCF_021132495.1	C16EC0033
GCF_030501455.2	CEC15
GCF_022918835.1	EC6868
GCF_002787645.1	CREC-544
GCF_022494825.1	KGu016
